n,p,device,repetition,random_state,timestamp,algorithm,computation_time,motifs,processor
1000,0.1,CPU,3,71070,2025-08-21 18:03:13.045437,matmul,0.032,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Apple M3 Max
1000,0.1,CPU,4,71070,2025-08-21 18:02:03.655048,matmul,0.03,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Apple M3 Max
1000,0.15000000000000002,GPU,0,71070,2025-08-21 18:03:43.784157,gpu,0.033,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Apple M3 Max
1000,0.15000000000000002,GPU,1,71070,2025-08-21 18:01:34.146542,gpu,0.036,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Apple M3 Max
1000,0.15000000000000002,GPU,2,71070,2025-08-21 18:03:22.717309,gpu,0.033,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Apple M3 Max
1000,0.15000000000000002,GPU,3,71070,2025-08-21 18:02:11.700500,gpu,0.013,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Apple M3 Max
1000,0.15000000000000002,GPU,4,71070,2025-08-21 18:04:00.227844,gpu,0.013,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Apple M3 Max
1000,0.15000000000000002,CPU,0,71070,2025-08-21 18:01:43.147123,matmul,0.038,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Apple M3 Max
1000,0.15000000000000002,CPU,1,71070,2025-08-21 18:02:25.642931,matmul,0.032,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Apple M3 Max
1000,0.15000000000000002,CPU,2,71070,2025-08-21 18:02:50.994612,matmul,0.035,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Apple M3 Max
1000,0.15000000000000002,CPU,3,71070,2025-08-21 18:02:31.838438,matmul,0.035,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Apple M3 Max
1000,0.15000000000000002,CPU,4,71070,2025-08-21 18:01:37.345011,matmul,0.034,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Apple M3 Max
1000,0.2,GPU,0,71070,2025-08-21 18:02:50.973700,gpu,0.013,[43558524 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Apple M3 Max
1000,0.2,GPU,1,71070,2025-08-21 18:02:31.105526,gpu,0.016,[43558524 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Apple M3 Max
1000,0.2,GPU,2,71070,2025-08-21 18:03:09.791873,gpu,0.055,[43558524 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Apple M3 Max
1000,0.2,GPU,3,71070,2025-08-21 18:02:44.704911,gpu,0.062,[43558524 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Apple M3 Max
1000,0.2,GPU,4,71070,2025-08-21 18:02:51.952141,gpu,0.012,[43558524 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Apple M3 Max
1000,0.2,CPU,0,71070,2025-08-21 18:02:54.300119,matmul,0.031,[43558520 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Apple M3 Max
1000,0.2,CPU,1,71070,2025-08-21 18:02:05.298560,matmul,0.038,[43558520 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Apple M3 Max
1000,0.2,CPU,2,71070,2025-08-21 18:03:08.022880,matmul,0.035,[43558520 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Apple M3 Max
1000,0.2,CPU,3,71070,2025-08-21 18:03:46.566510,matmul,0.033,[43558520 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Apple M3 Max
1000,0.2,CPU,4,71070,2025-08-21 18:02:38.855067,matmul,0.032,[43558520 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Apple M3 Max
1000,0.25,GPU,0,71070,2025-08-21 18:03:57.721947,gpu,0.03,[29691216 59210116  9865450 19670684  9836142  9838823  6536187  6555125  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030],Apple M3 Max
1000,0.25,GPU,1,71070,2025-08-21 18:03:59.010420,gpu,0.026,[29691216 59210116  9865450 19670684  9836142  9838823  6536187  6555125  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030],Apple M3 Max
