n,p,device,repetition,random_state,timestamp,algorithm,computation_time,motifs,processor
1000,0.15000000000000002,GPU,4,71070,2025-08-21 14:36:51.556931,gpu,0.014,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Tesla T4
1000,0.15000000000000002,CPU,0,71070,2025-08-21 14:18:36.197828,matmul,0.802,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.15000000000000002,CPU,1,71070,2025-08-21 14:23:55.780033,matmul,0.5,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.15000000000000002,CPU,2,71070,2025-08-21 14:32:39.013237,matmul,0.479,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.15000000000000002,CPU,3,71070,2025-08-21 14:36:31.333115,matmul,0.598,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.15000000000000002,CPU,4,71070,2025-08-21 14:29:20.927503,matmul,0.481,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.2,GPU,0,71070,2025-08-21 14:31:40.966393,gpu,0.013,[43558520 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Tesla T4
1000,0.2,GPU,1,71070,2025-08-21 14:31:23.800977,gpu,0.028,[43558520 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Tesla T4
1000,0.2,GPU,2,71070,2025-08-21 14:27:08.795525,gpu,0.028,[43558520 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Tesla T4
1000,0.2,GPU,3,71070,2025-08-21 14:23:55.690524,gpu,0.028,[43558520 65339424  8180426 16321692  8161521  8164900  4078779  4087639  4088359  1359865   513247  1023335   511865   510723   255985    10721],Tesla T4
